00001,M20307 Classroom,B5-05,24
00002,M20306 Classroom,B5-04,28
00003,M20305 Classroom,B5-03,28
00004,M20304 Classroom,B5-02,28
00005,Hindi Classroom,B5-13,24
00006,Y3 Accelerated Mathematics Classroom,B5-12,24
00007,M20301 Classroom,B4-02,28
00008,M20302 Classroom,B4-03,28
00009,M20303 Classroom,B4-05,28
00010,Lower Auditorium,A4-01,170
00011,Upper Auditorium,A4-02,170
00012,Computer Lab,1,32
00013,Computer Lab,2,32
00014,Computer Lab,3,32
00015,Chemistry Lab,1,24
00016,Chemistry Lab,2,24
00017,Chemistry Lab,3,24
00018,Physics Lab,1,32
00019,Physics Lab,2,32
00020,Physics Lab,3,32
00021,Biology Lab,1,28
00022,Biology Lab,2,28
00023,Biology Lab,3,28
00024,ICT Lab,1,16
00025,Theatrette,1,60
00026,Canteen,1,60
00027,Lower Grandstand,1,30
00028,Middle Grandstand,1,30
00029,Upper Grandstand,1,30
00030,School Field,1,30
00031,School Track,1,30
00032,Track Netball Court,1,30
00033,L5 Netball Court,1,30
00034,Seminar Room,1,30
00035,Seminar Room,2A,30
00036,Seminar Room,2B,30
00037,Seminar Room,2C,30
00038,Life Science Lab,1,30
00039,Analytical Chemistry Lab,1,30
00040,Synthetic Chemistry Lab,1,30
00041,Applied Technology Lab,1,30
00042,Clean Energy Lab,1,30
00043,Basketball Court,1,30
00044,Tennis Court,1,30
00045,Tennis Court,2,30
00046,Lower Concourse,1,30
00047,Upper Concourse,1,30
00048,Student Lounge,1,30
00049,School Hall,1,60
00050,Student Library,1,40
00051,Music Studio,1,30
00052,Art Room,1,30
00053,Art Room,2,30
00054,Art Studio,1,30
00055,Cookery Lab,1,30
00056,Dry Lab,1,30
00057,Gym,1,30
00058,Block E Level 1 Study Corner,1,10
00059,Block E Level 4 Study Corner,1,10
00060,Block D Level 1 Study Corner,1,10
00061,Indoor Sports Hall,1,30
00062,Media Resource Room,1,16
00063,Popular Bookstore,1,3
00065,Demo Lab,1,6
